"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"18417","GABBR1",0,"Rejected"
"18418","ERCC5.4",0,"Rejected"
"18419","LOC100268168.1",0,"Rejected"
"18420","KLHL6.1",0,"Rejected"
"18421","XLOC_012633",0,"Rejected"
"18422","KRT23",0,"Rejected"
"18423","XLOC_005411",0,"Rejected"
"18424","BBIP1",0,"Rejected"
"18425","CCDC107.1",0,"Rejected"
"18426","ZNF587.3",0,"Rejected"
"18427","TFDP3.3",0,"Rejected"
"18428","XLOC_009879",0,"Rejected"
"18429","X18429",0,"Rejected"
"18430","HLF",0,"Rejected"
"18431","LOC100652768",0,"Rejected"
"18432","MINPP1.3",0,"Rejected"
"18433","NIPSNAP1.4",0,"Rejected"
"18434","SIM2.1",0,"Rejected"
"18435","XLOC_003508.2",0,"Rejected"
"18436","FAM100A",0,"Rejected"
"18437","WDHD1.2",0,"Rejected"
"18438","ZNF140",0,"Rejected"
"18439","MT2A",0,"Rejected"
"18440","TMEM154",0,"Rejected"
"18441","XLOC_000565",0,"Rejected"
"18442","CEP112",0,"Rejected"
"18443","L2HGDH.4",0,"Rejected"
"18444","XPO5",0,"Rejected"
"18445","XLOC_l2_014219.2",0,"Rejected"
"18446","SYNE2",0,"Rejected"
"18447","XLOC_004754",0,"Rejected"
"18448","X18448",0,"Rejected"
"18449","X18449",0,"Rejected"
"18450","X18450",0,"Rejected"
"18451","CNTNAP5",0,"Rejected"
"18452","X18452",0,"Rejected"
"18453","ASB11.6",0,"Rejected"
"18454","FHL2.2",0,"Rejected"
"18455","TIMM13",0,"Rejected"
"18456","RASL10B",0,"Rejected"
"18457","X18457",0.291145572786393,"Rejected"
"18458","LOC100507437",0,"Rejected"
"18459","B2M.3",0,"Rejected"
"18460","XLOC_l2_003803",0,"Rejected"
"18461","RPL21.3",0,"Rejected"
"18462","INSM1.4",0,"Rejected"
"18463","AMDHD1",0,"Rejected"
"18464","PARD3.1",0,"Rejected"
"18465","LOC100287728",0,"Rejected"
"18466","LILRB4",0,"Rejected"
"18467","XLOC_011572",0,"Rejected"
"18468","X18468",0,"Rejected"
"18469","XLOC_l2_007274.1",0,"Rejected"
"18470","PCDH9.1",0,"Rejected"
"18471","X18471",0,"Rejected"
"18472","TDGF1",0,"Rejected"
"18473","X18473",0,"Rejected"
"18474","TRAF3IP2",0,"Rejected"
"18475","DAB2IP.5",0,"Rejected"
"18476","ALDH3A2",0,"Rejected"
"18477","XLOC_001355",0,"Rejected"
"18478","FHL2.3",0,"Rejected"
"18479","ZMYM3",0,"Rejected"
"18480","SAMD4B.1",0,"Rejected"
"18481","C5orf28",0,"Rejected"
"18482","OR10H2",0,"Rejected"
"18483","XLOC_000114",0,"Rejected"
"18484","ZNF347",0,"Rejected"
"18485","XLOC_011673",0,"Rejected"
"18486","LOC84931",0,"Rejected"
"18487","X18487",0,"Rejected"
"18488","XLOC_004484",0,"Rejected"
"18489","LOC152742",0,"Rejected"
"18490","SNORA70B",0,"Rejected"
"18491","XLOC_008347",0,"Rejected"
"18492","ZFP42",0,"Rejected"
"18493","ATP2B2",0,"Rejected"
"18494","SPATA18",0.987993996998499,"Confirmed"
"18495","XLOC_001406.1",0,"Rejected"
"18496","X18496",0,"Rejected"
"18497","XLOC_010585.1",0,"Rejected"
"18498","LIN9.1",0,"Rejected"
"18499","X18499",0,"Rejected"
"18500","ZNF217.1",0,"Rejected"
"18501","X18501",0,"Rejected"
"18502","STK40",0,"Rejected"
"18503","X18503",0,"Rejected"
"18504","LOC283692",0,"Rejected"
"18505","FBXL19.AS1",0,"Rejected"
"18506","LOC283674",0,"Rejected"
"18507","X18507",0,"Rejected"
"18508","DNASE2",0,"Rejected"
"18509","X18509",0,"Rejected"
"18510","TGFB3",0,"Rejected"
"18511","ITGA4",0,"Rejected"
"18512","BTF3L4.1",0,"Rejected"
"18513","XLOC_002383",0,"Rejected"
"18514","OSBPL3",0,"Rejected"
"18515","ATP5S.1",0,"Rejected"
"18516","XLOC_011980.1",0,"Rejected"
"18517","CDK9.2",0,"Rejected"
"18518","CXXC4.3",0,"Rejected"
"18519","KDELC1.5",0,"Rejected"
"18520","AMIGO1",0,"Rejected"
"18521","XLOC_l2_013001",0,"Rejected"
"18522","LOC100507387",0,"Rejected"
"18523","REXO4",0,"Rejected"
"18524","SNORA43",0,"Rejected"
"18525","SLCO4A1",0,"Rejected"
"18526","HACL1.4",0,"Rejected"
"18527","X18527",0,"Rejected"
"18528","LOC100652887",0,"Rejected"
"18529","X18529",0,"Rejected"
"18530","HIST1H2AA",0,"Rejected"
"18531","X18531",0,"Rejected"
"18532","URB1.1",0,"Rejected"
"18533","XLOC_005798",0,"Rejected"
"18534","X18534",0,"Rejected"
"18535","FAM117A",0,"Rejected"
"18536","PI4KB",0,"Rejected"
"18537","FAM155A",0,"Rejected"
"18538","AGAP1.3",0,"Rejected"
"18539","XLOC_007895.2",0,"Rejected"
"18540","LOC100287497",0,"Rejected"
"18541","BCAR1",0,"Rejected"
"18542","XLOC_007507",0,"Rejected"
"18543","XLOC_006356",0,"Rejected"
"18544","LOC100506651",0,"Rejected"
"18545","SERPINB12.1",0,"Rejected"
"18546","X18546",0,"Rejected"
"18547","LOC441204.4",0,"Rejected"
"18548","LOC100509196",0,"Rejected"
"18549","APC.3",0,"Rejected"
"18550","TRIM63.1",0,"Rejected"
"18551","MS4A5.2",0,"Rejected"
"18552","SPEG.3",0,"Rejected"
"18553","POLR2F.2",0,"Rejected"
"18554","DNAH1",0,"Rejected"
"18555","LOC100506050",0,"Rejected"
"18556","CCDC158",0,"Rejected"
"18557","KIAA0087.2",0,"Rejected"
"18558","POLR2F.3",0,"Rejected"
"18559","XLOC_008015",0,"Rejected"
"18560","OR5P3",0,"Rejected"
"18561","COPS8",0,"Rejected"
"18562","X18562",0,"Rejected"
"18563","GTF2H2D",0,"Rejected"
"18564","XLOC_003344",0,"Rejected"
"18565","DCST2",0,"Rejected"
"18566","WDR73.1",0,"Rejected"
"18567","FBXW12",0,"Rejected"
"18568","ZNF511",0,"Rejected"
"18569","XLOC_l2_008200",0,"Rejected"
"18570","SNORD124",0,"Rejected"
"18571","AGMAT.2",0,"Rejected"
"18572","DGKE",0,"Rejected"
"18573","HMGA2.1",0,"Rejected"
"18574","LOC441052",0,"Rejected"
"18575","CCBL2.1",0,"Rejected"
"18576","CRNN.3",0,"Rejected"
"18577","XLOC_000945",0,"Rejected"
"18578","OR5R1",0,"Rejected"
"18579","XLOC_007645",0,"Rejected"
"18580","X18580",0,"Rejected"
"18581","PCGF6.6",0,"Rejected"
"18582","GRK5",0,"Rejected"
"18583","BPIFB2",0,"Rejected"
"18584","ASPM",0,"Rejected"
"18585","SH3BGRL3.1",0,"Rejected"
"18586","PVT1.2",0,"Rejected"
"18587","XLOC_010520",0,"Rejected"
"18588","XLOC_014361",0,"Rejected"
"18589","LOC100129858",0,"Rejected"
"18590","ITGB1BP1.1",0,"Rejected"
"18591","C17orf57",0,"Rejected"
"18592","CPXM1",0,"Rejected"
"18593","ZPBP",0,"Rejected"
"18594","DLEU2L",0,"Rejected"
"18595","X18595",0,"Rejected"
"18596","SSBP3.1",0,"Rejected"
"18597","C1R",0,"Rejected"
"18598","X18598",0,"Rejected"
"18599","KRT42P",0,"Rejected"
"18600","PLA2G2D",0,"Rejected"
"18601","DEPDC1",0,"Rejected"
"18602","HPS1.1",0,"Rejected"
"18603","XLOC_011012",0,"Rejected"
"18604","ARL2BP",0,"Rejected"
"18605","XLOC_000476",0,"Rejected"
"18606","TUBAL3",0,"Rejected"
"18607","BMP15",0,"Rejected"
"18608","EGFL7",0,"Rejected"
"18609","TCEA3",0,"Rejected"
"18610","GSG1.1",0,"Rejected"
"18611","DEFA10P",0,"Rejected"
"18612","DSCAML1",0,"Rejected"
"18613","X18613",0,"Rejected"
"18614","XLOC_009508",0,"Rejected"
"18615","MAPK9",0,"Rejected"
"18616","DPRXP4",0,"Rejected"
"18617","NR4A3",0,"Rejected"
"18618","OPN1SW",0,"Rejected"
"18619","X18619",0,"Rejected"
"18620","OR10C1",0,"Rejected"
"18621","LOC100505528",0,"Rejected"
"18622","PLCB1.3",0,"Rejected"
"18623","LOC100128657",0,"Rejected"
"18624","LYPLA2",0,"Rejected"
"18625","XLOC_l2_013861",0,"Rejected"
"18626","X18626",0,"Rejected"
"18627","NFKBIA.4",0,"Rejected"
"18628","TAS2R30",0,"Rejected"
"18629","X18629",0,"Rejected"
"18630","LOXL1",0,"Rejected"
"18631","XLOC_l2_000342.1",0,"Rejected"
"18632","RPL23AP32.4",0,"Rejected"
"18633","GCN1L1",0,"Rejected"
"18634","C6orf124",0,"Rejected"
"18635","X18635",0,"Rejected"
"18636","FLJ43390.1",0,"Rejected"
"18637","SAP30BP",0,"Rejected"
"18638","TNS4",0,"Rejected"
"18639","DAD1.3",0,"Rejected"
"18640","HIST1H4J",0,"Rejected"
"18641","PTAR1.1",0,"Rejected"
"18642","SPRR2A",0,"Rejected"
"18643","BRCA1.4",0,"Rejected"
"18644","XLOC_002698",0,"Rejected"
"18645","XLOC_l2_011173.3",0,"Rejected"
"18646","XLOC_000948",0,"Rejected"
"18647","GRM8",0,"Rejected"
"18648","MIA3.1",0,"Rejected"
"18649","PPFIA1.1",0,"Rejected"
"18650","X18650",0,"Rejected"
"18651","C5orf63.3",0,"Rejected"
"18652","SPIN3.1",0,"Rejected"
"18653","NAA35.1",0,"Rejected"
"18654","PRAMEF2",0,"Rejected"
"18655","PRMT2",0,"Rejected"
"18656","ARHGAP23",0,"Rejected"
"18657","TMEM170A.1",0,"Rejected"
"18658","C9orf169.1",0,"Rejected"
"18659","RAC1.1",0,"Rejected"
"18660","X18660",0,"Rejected"
"18661","ALKBH6",0,"Rejected"
"18662","HCG18.3",0,"Rejected"
"18663","ORC6.2",0,"Rejected"
"18664","GTF2IRD1.5",0,"Rejected"
"18665","PLEKHM3.1",0,"Rejected"
"18666","CYP3A5.1",0,"Rejected"
"18667","X18667",0,"Rejected"
"18668","ATP6V1C1.1",0,"Rejected"
"18669","HRASLS2",0,"Rejected"
"18670","ABCG5",0,"Rejected"
"18671","GRID2IP",0,"Rejected"
"18672","STAU2.1",0,"Rejected"
"18673","X18673",0,"Rejected"
"18674","NOSTRIN",0,"Rejected"
"18675","XLOC_l2_001302",0,"Rejected"
"18676","HFM1",0,"Rejected"
"18677","PPP1R8.2",0,"Rejected"
"18678","XLOC_001901",0,"Rejected"
"18679","NAGLU",0,"Rejected"
"18680","RPL21.4",0,"Rejected"
"18681","X18681",0,"Rejected"
"18682","ZC3H12D",0,"Rejected"
"18683","XLOC_l2_005352",0,"Rejected"
"18684","ZNF627",0,"Rejected"
"18685","TUBG2",0,"Rejected"
"18686","SGPP2",0,"Rejected"
"18687","ACAA1",0,"Rejected"
"18688","LCK.1",0,"Rejected"
"18689","MRPL32.2",0,"Rejected"
"18690","X18690",0,"Rejected"
"18691","X18691",0,"Rejected"
"18692","TCL6",0,"Rejected"
"18693","LOC644192",0,"Rejected"
"18694","PRRC2B.1",0,"Rejected"
"18695","MED4",0,"Rejected"
"18696","LINC00341",0,"Rejected"
"18697","TSPAN11.1",0,"Rejected"
"18698","X18698",0,"Rejected"
"18699","LOC339894.4",0,"Rejected"
"18700","XLOC_l2_007034",0,"Rejected"
"18701","ST6GAL2",0,"Rejected"
"18702","X18702",0,"Rejected"
"18703","USP9Y",0,"Rejected"
"18704","TOP2B.5",0,"Rejected"
"18705","XLOC_007510",0,"Rejected"
"18706","X18706",0,"Rejected"
"18707","SFXN1",0,"Rejected"
"18708","TTC7A",0,"Rejected"
"18709","C6orf89.2",0,"Rejected"
"18710","XLOC_006774",0,"Rejected"
"18711","ACTB.1",0,"Rejected"
"18712","XLOC_012812",0,"Rejected"
"18713","TBC1D22A.4",0,"Rejected"
"18714","XLOC_012870",0,"Rejected"
"18715","FBXO17.6",0,"Rejected"
"18716","CELSR2",0,"Rejected"
"18717","MYH11",0,"Rejected"
"18718","HPCAL1",0,"Rejected"
"18719","X18719",0,"Rejected"
"18720","ADAM10",0,"Rejected"
"18721","X18721",0,"Rejected"
"18722","ERI2",0,"Rejected"
"18723","LBH.1",0,"Rejected"
"18724","AVEN",0,"Rejected"
"18725","SPEN.3",0,"Rejected"
"18726","TMBIM1",0,"Rejected"
"18727","BAZ1A.4",0,"Rejected"
"18728","LOC100506757",0,"Rejected"
"18729","GAPVD1",0,"Rejected"
"18730","LOC729159",0,"Rejected"
"18731","XLOC_l2_015830",0,"Rejected"
"18732","TMEM147",0,"Rejected"
"18733","KIAA0556.1",0,"Rejected"
"18734","XLOC_002233",0,"Rejected"
"18735","LRRN1",0,"Rejected"
"18736","LOC92249",0,"Rejected"
"18737","MUC12.1",0,"Rejected"
"18738","EIF2C1",0,"Rejected"
"18739","LOC100507663",0,"Rejected"
"18740","NAA25",0,"Rejected"
"18741","XLOC_006775.1",0,"Rejected"
"18742","X18742",0,"Rejected"
"18743","X18743",0,"Rejected"
"18744","C11orf2",0,"Rejected"
"18745","ASB1",0,"Rejected"
"18746","LOC729558",0,"Rejected"
"18747","XLOC_l2_013125.4",0,"Rejected"
"18748","X18748",0,"Rejected"
"18749","SNORD115.28",0,"Rejected"
"18750","UBE2D3",0,"Rejected"
"18751","LINC00163.1",0,"Rejected"
"18752","AKAP11",0,"Rejected"
"18753","XLOC_l2_012323",0,"Rejected"
"18754","LRRC1.2",0,"Rejected"
"18755","FGR.1",0,"Rejected"
"18756","ATXN2L",0,"Rejected"
"18757","XLOC_004168",0,"Rejected"
"18758","ARID3B",0,"Rejected"
"18759","SLC38A5",0,"Rejected"
"18760","TMEM150C.3",0,"Rejected"
"18761","XLOC_001958.4",0,"Rejected"
"18762","XLOC_001850",0,"Rejected"
"18763","PLEKHO2",0,"Rejected"
"18764","XLOC_004998",0,"Rejected"
"18765","C1orf74",0,"Rejected"
"18766","CCND1.3",0,"Rejected"
"18767","NOC3L.3",0,"Rejected"
"18768","BCL11A.1",0,"Rejected"
"18769","RSPH1.4",0,"Rejected"
"18770","SYAP1",0,"Rejected"
"18771","LDLRAD3",0,"Rejected"
"18772","XLOC_004325.3",0,"Rejected"
"18773","LOC727775",0,"Rejected"
"18774","LOC100505488",0,"Rejected"
"18775","CCDC73.1",0,"Rejected"
"18776","PSD4",0,"Rejected"
"18777","DUSP8.2",0,"Rejected"
"18778","ASPSCR1.3",0,"Rejected"
"18779","X18779",0,"Rejected"
"18780","TMEM43.4",0,"Rejected"
"18781","XLOC_002042",0,"Rejected"
"18782","CHIC2.2",0,"Rejected"
"18783","PCGF6.7",0,"Rejected"
"18784","XLOC_002035",0,"Rejected"
"18785","MARCH11",0,"Rejected"
"18786","LINC00162",0,"Rejected"
"18787","ERBB2.2",0,"Rejected"
"18788","SOD3",0,"Rejected"
"18789","BRCC3.1",0,"Rejected"
"18790","C8orf47",0,"Rejected"
"18791","X18791",0,"Rejected"
"18792","X18792",0,"Rejected"
"18793","SNORA60",0,"Rejected"
"18794","X18794",0,"Rejected"
"18795","FRY.2",0,"Rejected"
"18796","NGFRAP1",0,"Rejected"
"18797","XLOC_008341",0,"Rejected"
"18798","ZNRF3",0,"Rejected"
"18799","GFRA1.1",0,"Rejected"
"18800","IKZF5",0,"Rejected"
"18801","TMEM191B.1",0,"Rejected"
"18802","X18802",0,"Rejected"
"18803","X18803",0,"Rejected"
"18804","XLOC_010856.1",0,"Rejected"
"18805","AKAP9.3",0,"Rejected"
"18806","FOLH1",0,"Rejected"
"18807","LOC644919.1",0,"Rejected"
"18808","SCARNA6",0,"Rejected"
"18809","INTS4",0,"Rejected"
"18810","EXOC1.2",0,"Rejected"
"18811","XLOC_008642.1",0,"Rejected"
"18812","SPTLC2",0,"Rejected"
"18813","XLOC_006597",0,"Rejected"
"18814","XLOC_l2_013728",0,"Rejected"
"18815","C4B",0,"Rejected"
"18816","HOTAIR.3",0,"Rejected"
"18817","X18817",0,"Rejected"
"18818","XLOC_007600",0,"Rejected"
"18819","X18819",0,"Rejected"
"18820","X18820",0,"Rejected"
"18821","REPS1",0,"Rejected"
"18822","LOC100506948.1",0,"Rejected"
"18823","CSN1S1.2",0,"Rejected"
"18824","X18824",0,"Rejected"
"18825","DLC1.4",0,"Rejected"
"18826","LOC100506710",0,"Rejected"
"18827","SERPINC1.3",0,"Rejected"
"18828","COLQ",0,"Rejected"
"18829","RAF1.4",0,"Rejected"
"18830","RFWD3",0,"Rejected"
"18831","FBXO15",0,"Rejected"
"18832","LINC00458",0,"Rejected"
"18833","DZANK1.AS1",0,"Rejected"
"18834","X18834",0,"Rejected"
"18835","PAPPA2",0,"Rejected"
"18836","SORBS2.3",0,"Rejected"
"18837","GNE",0,"Rejected"
"18838","KLKB1",0,"Rejected"
"18839","X18839",0,"Rejected"
"18840","RCHY1",0,"Rejected"
"18841","LOC647983",0,"Rejected"
"18842","COL12A1",0,"Rejected"
"18843","XLOC_006188.3",0,"Rejected"
"18844","X18844",0,"Rejected"
"18845","MRPL20",0,"Rejected"
"18846","XLOC_004283",0,"Rejected"
"18847","C1orf100",0,"Rejected"
"18848","PCDHA8",0,"Rejected"
"18849","KRT16",0,"Rejected"
"18850","LRP1B",0,"Rejected"
"18851","VWF.1",0,"Rejected"
"18852","CDX4.2",0,"Rejected"
"18853","TMEM11.6",0,"Rejected"
"18854","THG1L.1",0,"Rejected"
"18855","MRPS15.3",0,"Rejected"
"18856","C6orf222",0,"Rejected"
"18857","LOC389641",0,"Rejected"
"18858","UNC45A",0,"Rejected"
"18859","XLOC_l2_015132.1",0,"Rejected"
"18860","X18860",0,"Rejected"
"18861","IDE",0,"Rejected"
"18862","ZNF14.4",0,"Rejected"
"18863","KTI12.3",0,"Rejected"
"18864","TMEM54",0,"Rejected"
"18865","X18865",0,"Rejected"
"18866","X18866",0,"Rejected"
"18867","ST3GAL6.1",0,"Rejected"
"18868","XLOC_009840",0,"Rejected"
"18869","X18869",0,"Rejected"
"18870","UPB1.2",0,"Rejected"
"18871","X18871",0,"Rejected"
"18872","ATAD3C",0,"Rejected"
"18873","CCDC152",0,"Rejected"
"18874","APCDD1L",0,"Rejected"
"18875","BCL7C.3",0,"Rejected"
"18876","X18876",0,"Rejected"
"18877","XLOC_010616",0,"Rejected"
"18878","PBX2",0,"Rejected"
"18879","R3HDM1",0,"Rejected"
"18880","LOC257358",0,"Rejected"
"18881","XLOC_013957",0,"Rejected"
"18882","MAEL.1",0,"Rejected"
"18883","TARDBP.1",0,"Rejected"
"18884","XLOC_001613",0,"Rejected"
"18885","HCG27",0,"Rejected"
"18886","PQLC1",0,"Rejected"
"18887","LOC100506379.1",0,"Rejected"
"18888","VAC14.1",0,"Rejected"
"18889","HERC5.3",0,"Rejected"
"18890","DUSP7",0,"Rejected"
"18891","PLEKHA3.3",0,"Rejected"
"18892","LOC284950.1",0,"Rejected"
"18893","C14orf159.1",0,"Rejected"
"18894","ATAD2B",0,"Rejected"
"18895","XPNPEP3.1",0,"Rejected"
"18896","LOC392364.1",0,"Rejected"
"18897","C22orf40",0,"Rejected"
"18898","XLOC_010731",0,"Rejected"
"18899","ZNF37BP",0,"Rejected"
"18900","SSR4P1",0,"Rejected"
"18901","TFAM",0,"Rejected"
"18902","INADL",0,"Rejected"
"18903","HMMR",0,"Rejected"
"18904","XLOC_000738",0,"Rejected"
"18905","GLDC.2",0,"Rejected"
"18906","XLOC_011422",0,"Rejected"
"18907","ENOPH1.4",0,"Rejected"
"18908","TGM4",0,"Rejected"
"18909","THEG5",0,"Rejected"
"18910","LOC401320.7",0,"Rejected"
"18911","LOC100507480.1",0,"Rejected"
"18912","X18912",0,"Rejected"
"18913","XLOC_l2_013772",0,"Rejected"
"18914","X18914",0,"Rejected"
"18915","X18915",0,"Rejected"
"18916","XLOC_010804",0,"Rejected"
"18917","XLOC_011068",0,"Rejected"
"18918","FAM156B",0,"Rejected"
"18919","LOC100505718.2",0,"Rejected"
"18920","L3MBTL3",0,"Rejected"
"18921","C12orf42",0,"Rejected"
"18922","CCDC50",0,"Rejected"
"18923","ACSL1.4",0,"Rejected"
"18924","LOC126536",0,"Rejected"
"18925","PCNA",0,"Rejected"
"18926","GAL3ST1.3",0,"Rejected"
"18927","HOTTIP",0,"Rejected"
"18928","JAG2.2",0,"Rejected"
"18929","GUCY1B3.2",0,"Rejected"
"18930","X18930",0,"Rejected"
"18931","C9orf30.1",0,"Rejected"
"18932","ANLN",0,"Rejected"
"18933","FP2234",0,"Rejected"
"18934","LOC100506688",0,"Rejected"
"18935","GRIA3",0,"Rejected"
"18936","RAB21",0,"Rejected"
"18937","FGF9",0,"Rejected"
"18938","XLOC_006721.1",0,"Rejected"
"18939","ZNF585B.1",0,"Rejected"
"18940","KIAA0317.1",0,"Rejected"
"18941","XLOC_l2_000727.3",0,"Rejected"
"18942","GLIS2",0,"Rejected"
"18943","SNORD87",0,"Rejected"
"18944","HDAC1.3",0,"Rejected"
"18945","IL17C",0,"Rejected"
"18946","CCDC122",0,"Rejected"
"18947","XLOC_l2_009216.2",0,"Rejected"
"18948","X18948",0,"Rejected"
"18949","ORC6.3",0,"Rejected"
"18950","XLOC_l2_015451",0,"Rejected"
"18951","ANKFY1.1",0,"Rejected"
"18952","POM121L4P",0,"Rejected"
"18953","RAB18.1",0,"Rejected"
"18954","PAQR6",0,"Rejected"
"18955","LOC339400",0,"Rejected"
"18956","XLOC_l2_014853",0,"Rejected"
"18957","PTCH1.1",0,"Rejected"
"18958","MGC34034",0,"Rejected"
"18959","CDKL4.1",0,"Rejected"
"18960","XLOC_005621.2",0,"Rejected"
"18961","EYS.3",0,"Rejected"
"18962","XLOC_007629",0,"Rejected"
"18963","X18963",0,"Rejected"
"18964","TRIM32.2",0,"Rejected"
"18965","GPS1",0,"Rejected"
"18966","X18966",0,"Rejected"
"18967","XLOC_005278.1",0,"Rejected"
"18968","X18968",0,"Rejected"
"18969","ZNF69",0,"Rejected"
"18970","SPARC",0,"Rejected"
"18971","POU3F3",0,"Rejected"
"18972","X18972",0,"Rejected"
"18973","FAM189B.2",0,"Rejected"
"18974","XLOC_l2_012388",0,"Rejected"
"18975","CXorf57",0,"Rejected"
"18976","X18976",0,"Rejected"
"18977","XLOC_006765.1",0,"Rejected"
"18978","SNRNP27",0,"Rejected"
"18979","ARL13B.2",0,"Rejected"
"18980","X18980",0,"Rejected"
"18981","X18981",0,"Rejected"
"18982","X18982",0,"Rejected"
"18983","XLOC_l2_010558.1",0,"Rejected"
"18984","SEC14L1",0,"Rejected"
"18985","X18985",0,"Rejected"
"18986","ZNF367",0,"Rejected"
"18987","WNT9A",0,"Rejected"
"18988","LOC100132396.1",0,"Rejected"
"18989","ATP5SL.3",0,"Rejected"
"18990","SRC.4",0,"Rejected"
"18991","XLOC_001870",0,"Rejected"
"18992","LOC100505702.1",0,"Rejected"
"18993","X18993",0,"Rejected"
"18994","SLC26A2",0,"Rejected"
"18995","GAS2",0,"Rejected"
"18996","LINC00482",0,"Rejected"
"18997","CRHR2",0,"Rejected"
"18998","X18998",0,"Rejected"
"18999","XLOC_009143",0,"Rejected"
"19000","C6orf105.1",0,"Rejected"
"19001","XLOC_011616.1",0,"Rejected"
"19002","XLOC_012670",0,"Rejected"
"19003","PART1",0,"Rejected"
"19004","C13orf30",0,"Rejected"
"19005","ATG5",0,"Rejected"
"19006","FTO.5",0,"Rejected"
"19007","X19007",0,"Rejected"
"19008","ARMC9",0,"Rejected"
"19009","X19009",0,"Rejected"
"19010","LOC100130342",0,"Rejected"
"19011","TSPAN33",0,"Rejected"
"19012","KRT85",0,"Rejected"
"19013","IGF1.4",0,"Rejected"
"19014","XLOC_010798",0,"Rejected"
"19015","GTF3C5",0,"Rejected"
"19016","MPRIP.3",0,"Rejected"
"19017","X19017",0,"Rejected"
"19018","MFSD8.1",0,"Rejected"
"19019","UNKL.2",0,"Rejected"
"19020","U2AF1.1",0,"Rejected"
"19021","X19021",0,"Rejected"
"19022","PDXP",0,"Rejected"
"19023","FGF23.4",0,"Rejected"
"19024","STOX1.1",0,"Rejected"
"19025","BTBD2",0,"Rejected"
"19026","TGFBRAP1.3",0,"Rejected"
"19027","XLOC_006599",0,"Rejected"
"19028","EME2",0,"Rejected"
"19029","X19029",0,"Rejected"
"19030","KRTAP21.1",0,"Rejected"
"19031","SYT11",0,"Rejected"
"19032","XLOC_002953",0,"Rejected"
"19033","HK3",0,"Rejected"
"19034","MRPL14",0,"Rejected"
"19035","OR5AS1",0,"Rejected"
"19036","CNNM4.1",0,"Rejected"
"19037","KCNQ1OT1",0,"Rejected"
"19038","X19038",0,"Rejected"
"19039","XLOC_002958.1",0,"Rejected"
"19040","LOC100505471",0,"Rejected"
"19041","RAB31",0,"Rejected"
"19042","MALAT1.2",0,"Rejected"
"19043","SLC26A3.3",0,"Rejected"
"19044","C1orf74.1",0,"Rejected"
"19045","METTL21CP1.1",0,"Rejected"
"19046","DISC1.3",0,"Rejected"
"19047","ARHGEF33",0,"Rejected"
"19048","TDRG1",0,"Rejected"
"19049","LOC100506465",0,"Rejected"
"19050","MTF1",0,"Rejected"
"19051","X19051",0,"Rejected"
"19052","XLOC_l2_013427.3",0,"Rejected"
"19053","PUSL1",0,"Rejected"
"19054","X19054",0,"Rejected"
"19055","CHAMP1",0,"Rejected"
"19056","XLOC_l2_012323.1",0,"Rejected"
"19057","NFAT5",0,"Rejected"
"19058","POLR3C",0,"Rejected"
"19059","XLOC_005589",0,"Rejected"
"19060","DUOX2",0,"Rejected"
"19061","SQLE",0,"Rejected"
"19062","NCOA1.1",0,"Rejected"
"19063","KRT25",0,"Rejected"
"19064","LOC494150",0,"Rejected"
"19065","STK3.1",0,"Rejected"
"19066","X19066",0,"Rejected"
"19067","X19067",0,"Rejected"
"19068","LOC100506219",0,"Rejected"
"19069","PALM3.1",0,"Rejected"
"19070","C5orf28.1",0,"Rejected"
"19071","SLC29A3",0,"Rejected"
"19072","LPPR5",0,"Rejected"
"19073","ACR.1",0,"Rejected"
"19074","UBXN1",0,"Rejected"
"19075","X19075",0,"Rejected"
"19076","IFI27L1",0,"Rejected"
"19077","XLOC_005927",0,"Rejected"
"19078","XLOC_002420.1",0,"Rejected"
"19079","EPHA7.2",0,"Rejected"
"19080","Q8IWW8",0,"Rejected"
"19081","XLOC_006548.1",0,"Rejected"
"19082","CCDC111",0,"Rejected"
"19083","XLOC_l2_009833",0,"Rejected"
"19084","ITGB3BP.1",0,"Rejected"
"19085","ZSWIM3",0,"Rejected"
"19086","CENPA",0,"Rejected"
"19087","CWC27",0,"Rejected"
"19088","DEFB136",0,"Rejected"
"19089","PHF8",0,"Rejected"
"19090","VASP.3",0,"Rejected"
"19091","Q8IVV4",0,"Rejected"
"19092","CAD",0,"Rejected"
"19093","FAM72A",0,"Rejected"
"19094","KRT72",0,"Rejected"
"19095","XLOC_008259",0,"Rejected"
"19096","X19096",0,"Rejected"
"19097","RPLP2",0,"Rejected"
"19098","XLOC_012002",0,"Rejected"
"19099","TDRD10",0,"Rejected"
"19100","NUDT2.4",0,"Rejected"
"19101","X19101",0,"Rejected"
"19102","C4orf34.3",0,"Rejected"
"19103","XLOC_002860",0,"Rejected"
"19104","LOC100507547",0,"Rejected"
"19105","X19105",0,"Rejected"
"19106","TMEM5",0,"Rejected"
"19107","NELL1",0,"Rejected"
"19108","CYP2G1P",0,"Rejected"
"19109","OCLM.4",0,"Rejected"
"19110","TERF1.2",0,"Rejected"
"19111","GSDMB",0,"Rejected"
"19112","COPS5",0,"Rejected"
"19113","NCOA6",0,"Rejected"
"19114","WDR65",0,"Rejected"
"19115","RNF219",0,"Rejected"
"19116","XLOC_l2_011636.2",0,"Rejected"
"19117","X19117",0,"Rejected"
