"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"175","XLOC_002968",0,"Rejected"
"176","ZFP36L2",0,"Rejected"
"177","SNORA26",0,"Rejected"
"178","XLOC_l2_004944",0,"Rejected"
"179","NGRN",0,"Rejected"
"180","RABGAP1",0,"Rejected"
"181","TSEN15",0,"Rejected"
"182","C1orf31",0,"Rejected"
"183","MS4A5",0,"Rejected"
"184","C6orf89",0,"Rejected"
"185","TBCD",0,"Rejected"
"186","X186",0,"Rejected"
"187","ATP6V0D2",0,"Rejected"
"188","KDR",0,"Rejected"
"189","POLDIP3",0,"Rejected"
"190","ABCF2",0,"Rejected"
"191","HMGCS2",0,"Rejected"
"192","XLOC_l2_013442",0,"Rejected"
"193","FONG",0,"Rejected"
"194","XLOC_004405",0,"Rejected"
"195","SLC9A7",0,"Rejected"
"196","FLJ26245",0,"Rejected"
"197","LOC100506867",0,"Rejected"
"198","ZNF195",0,"Rejected"
"199","XLOC_005991",0,"Rejected"
"200","RNF157",0,"Rejected"
"201","LOC100506235",0,"Rejected"
"202","CUTA",0,"Rejected"
"203","CRIM1",0,"Rejected"
"204","X204",0,"Rejected"
"205","XLOC_011080",0,"Rejected"
"206","LOC100134285",0,"Rejected"
"207","XLOC_004988",0,"Rejected"
"208","OAZ2",0,"Rejected"
"209","RPL23AP7",0,"Rejected"
"210","X210",0,"Rejected"
"211","SYT8",0,"Rejected"
"212","MMP2",0,"Rejected"
"213","WIPI2",0,"Rejected"
"214","XLOC_l2_009273",0,"Rejected"
"215","CHRM3",0,"Rejected"
"216","XLOC_014183",0,"Rejected"
"217","CPT1A",0,"Rejected"
"218","GNASAS",0,"Rejected"
"219","ZNF596",0,"Rejected"
"220","C1orf183",0,"Rejected"
"221","X221",0,"Rejected"
"222","OR8B4",0,"Rejected"
"223","NUS1",0,"Rejected"
"224","X224",0,"Rejected"
"225","ACAN",0,"Rejected"
"226","XLOC_l2_013648",0,"Rejected"
"227","SLC19A1",0,"Rejected"
"228","OTOG",0,"Rejected"
"229","XLOC_l2_014565",0,"Rejected"
"230","TSPAN8",0,"Rejected"
"231","XLOC_010491",0,"Rejected"
"232","ARHGAP24",0,"Rejected"
"233","XLOC_013528",0,"Rejected"
"234","XLOC_001281",0,"Rejected"
"235","XLOC_011421",0,"Rejected"
"236","SPATA21",0,"Rejected"
"237","EIF4G3",0,"Rejected"
"238","NAV2",0,"Rejected"
